# This is a NO-USE pre-TEA atmosphere file.
# TEA accepts a file in this format to produce 
# abundances as a function of pressure and temperature.

1, 2, 3, 4, 5, 6, 7, 8, 9, 0

# FILLER STUFF HERE

#FINDSPEC
H_g C_g N_g O_g H2_ref CO_g CH4_g H2O_g N2_ref NH3_g

#FINDTEA
    Radius   Pressure    Temp        H_g        C_g        N_g        O_g     H2_ref       CO_g      CH4_g      H2O_g     N2_ref      NH3_g 
 13000.000 1.0000e+00 1700.00 8.5379e-05 9.9858e-18 2.8917e-14 1.4257e-13 9.9887e-01 5.3477e-04 2.6042e-06 4.4406e-04 6.7262e-05 6.0509e-07 
 12000.000 1.0000e+00 1800.00 2.0805e-04 9.8172e-17 1.9123e-13 1.0636e-12 9.9874e-01 5.3631e-04 9.5979e-07 4.4244e-04 6.7330e-05 4.6091e-07 
 11000.000 1.0000e+00 1900.00 4.6283e-04 7.4977e-16 1.0383e-12 6.4842e-12 9.9849e-01 5.3487e-04 3.8727e-07 4.4352e-04 6.7372e-05 3.6044e-07 
 10000.000 1.0000e+00 2000.00 9.5262e-04 4.7280e-15 4.7664e-12 3.2895e-11 9.9800e-01 5.3688e-04 1.7271e-07 4.4152e-04 6.7391e-05 2.8822e-07 
  9000.000 1.0000e+00 2100.00 1.8339e-03 2.4803e-14 1.8947e-11 1.4398e-10 9.9712e-01 5.3667e-04 8.2327e-08 4.4128e-04 6.7388e-05 2.3503e-07 
  8000.000 1.0000e+00 2200.00 3.3312e-03 1.1189e-13 6.6479e-11 5.5221e-10 9.9562e-01 5.3647e-04 4.1904e-08 4.4071e-04 6.7357e-05 1.9489e-07 
  7000.000 1.0000e+00 2300.00 5.7505e-03 4.4133e-13 2.0933e-10 1.8908e-09 9.9321e-01 5.3560e-04 2.2496e-08 4.4031e-04 6.7291e-05 1.6387e-07 
  6000.000 1.0000e+00 2400.00 9.4908e-03 1.4858e-12 5.9914e-10 5.9945e-09 9.8947e-01 5.2439e-04 1.2146e-08 4.4993e-04 6.7178e-05 1.3946e-07 
  5000.000 1.0000e+00 2500.00 1.5056e-02 4.7801e-12 1.5771e-09 1.6870e-08 9.8391e-01 5.2647e-04 7.2258e-09 4.4511e-04 6.6999e-05 1.1972e-07 
  4000.000 1.0000e+00 2600.00 2.3044e-02 1.3972e-11 3.8531e-09 4.4032e-08 9.7592e-01 5.2691e-04 4.4248e-09 4.4074e-04 6.6736e-05 1.0353e-07 
  3000.000 1.0000e+00 2700.00 3.4142e-02 3.7346e-11 8.8066e-09 1.0770e-07 9.6483e-01 5.2488e-04 2.7635e-09 4.3726e-04 6.6365e-05 8.9898e-08 
  2000.000 1.0000e+00 2800.00 4.9109e-02 9.2905e-11 1.8963e-08 2.4749e-07 9.4987e-01 5.2249e-04 1.7658e-09 4.3218e-04 6.5860e-05 7.8208e-08 
  1000.000 1.0000e+00 2900.00 6.8727e-02 2.1486e-10 3.8677e-08 5.4021e-07 9.3026e-01 5.1779e-04 1.1390e-09 4.2699e-04 6.5192e-05 6.7975e-08 
