# This is a NO-USE pre-TEA atmosphere file.
# TEA accepts a file in this format to produce 
# abundances as a function of pressure and temperature.

1, 2, 3, 4, 5, 6, 7, 8, 9, 0

# FILLER STUFF HERE

#FINDSPEC
H_g H2_ref H2O_l-g N_g NH_g NO_g N2_ref O_g OH_g O2_ref

#FINDTEA
    Radius   Pressure    Temp        H_g     H2_ref    H2O_l-g        N_g       NH_g       NO_g     N2_ref        O_g       OH_g     O2_ref 
 81000.000 1.8738e-04 1500.00 8.0626e-04 9.9815e-01 9.7826e-04 2.4874e-14 7.1041e-15 6.6726e-11 6.7547e-05 5.4656e-10 7.8934e-07 6.4440e-12 
 80000.000 2.2051e-04 1500.00 7.4326e-04 9.9821e-01 9.7818e-04 2.2909e-14 7.0979e-15 6.1446e-11 6.7426e-05 4.6438e-10 7.2755e-07 5.4743e-12 
 79000.000 2.5950e-04 1500.00 6.8517e-04 9.9827e-01 9.7828e-04 2.1120e-14 7.0989e-15 5.6651e-11 6.7441e-05 3.9463e-10 6.7073e-07 4.6523e-12 
 78000.000 3.0539e-04 1500.00 6.3162e-04 9.9832e-01 9.7851e-04 1.9484e-14 7.1046e-15 5.2272e-11 6.7546e-05 3.3540e-10 6.1842e-07 3.9547e-12 
 77000.000 3.5938e-04 1500.00 5.8225e-04 9.9837e-01 9.7847e-04 1.7950e-14 7.1007e-15 4.8153e-11 6.7468e-05 2.8497e-10 5.7003e-07 3.3598e-12 
 76000.000 4.2292e-04 1500.00 5.3675e-04 9.9842e-01 9.7864e-04 1.6557e-14 7.1048e-15 4.4419e-11 6.7543e-05 2.4219e-10 5.2555e-07 2.8558e-12 
 75000.000 4.9770e-04 1500.00 4.9480e-04 9.9846e-01 9.7873e-04 1.5265e-14 7.1062e-15 4.0956e-11 6.7567e-05 2.0582e-10 4.8450e-07 2.4270e-12 
 74000.000 5.8570e-04 1500.00 4.5612e-04 9.9850e-01 9.7870e-04 1.4065e-14 7.1030e-15 3.7733e-11 6.7503e-05 1.7488e-10 4.4660e-07 2.0621e-12 
 73000.000 6.8926e-04 1500.00 4.2047e-04 9.9853e-01 9.7884e-04 1.2971e-14 7.1063e-15 3.4803e-11 6.7563e-05 1.4862e-10 4.1173e-07 1.7526e-12 
 72000.000 8.1113e-04 1500.00 3.8760e-04 9.9857e-01 9.7877e-04 1.1949e-14 7.1016e-15 3.2057e-11 6.7472e-05 1.2628e-10 3.7951e-07 1.4890e-12 
 71000.000 9.5455e-04 1500.00 3.5731e-04 9.9860e-01 9.7894e-04 1.1022e-14 7.1061e-15 2.9573e-11 6.7556e-05 1.0732e-10 3.4989e-07 1.2656e-12 
 70000.000 1.1233e-03 1500.00 3.2938e-04 9.9862e-01 9.7876e-04 1.0147e-14 7.0974e-15 2.7221e-11 6.7388e-05 9.1174e-11 3.2247e-07 1.0750e-12 
 69000.000 1.3219e-03 1500.00 3.0363e-04 9.9865e-01 9.7889e-04 9.3587e-15 7.1010e-15 2.5109e-11 6.7456e-05 7.7487e-11 2.9731e-07 9.1372e-13 
 68000.000 1.5557e-03 1500.00 2.7990e-04 9.9867e-01 9.7906e-04 8.6352e-15 7.1077e-15 2.3171e-11 6.7581e-05 6.5855e-11 2.7411e-07 7.7667e-13 
 67000.000 1.8307e-03 1500.00 2.5802e-04 9.9870e-01 9.7909e-04 7.9600e-15 7.1079e-15 2.1360e-11 6.7584e-05 5.5959e-11 2.5268e-07 6.5996e-13 
 66000.000 2.1544e-03 1500.00 2.3785e-04 9.9872e-01 9.7912e-04 7.3381e-15 7.1082e-15 1.9691e-11 6.7587e-05 4.7554e-11 2.3293e-07 5.6084e-13 
 65000.000 2.5354e-03 1500.00 2.1926e-04 9.9873e-01 9.7915e-04 6.7644e-15 7.1083e-15 1.8152e-11 6.7589e-05 4.0409e-11 2.1473e-07 4.7659e-13 
 64000.000 2.9836e-03 1500.00 2.0212e-04 9.9875e-01 9.7918e-04 6.2356e-15 7.1085e-15 1.6733e-11 6.7591e-05 3.4337e-11 1.9794e-07 4.0498e-13 
 63000.000 3.5112e-03 1500.00 1.8632e-04 9.9877e-01 9.7900e-04 5.7417e-15 7.1005e-15 1.5404e-11 6.7438e-05 2.9173e-11 1.8243e-07 3.4400e-13 
 62000.000 4.1320e-03 1500.00 1.7175e-04 9.9878e-01 9.7902e-04 5.2926e-15 7.1004e-15 1.4200e-11 6.7435e-05 2.4789e-11 1.6817e-07 2.9231e-13 
 61000.000 4.8626e-03 1500.00 1.5833e-04 9.9879e-01 9.7924e-04 4.8846e-15 7.1088e-15 1.3108e-11 6.7592e-05 2.1070e-11 1.5506e-07 2.4851e-13 
 60000.000 5.7224e-03 1500.00 1.4595e-04 9.9881e-01 9.7926e-04 4.5027e-15 7.1088e-15 1.2083e-11 6.7593e-05 1.7904e-11 1.4294e-07 2.1117e-13 
 59000.000 6.7342e-03 1500.00 1.3454e-04 9.9882e-01 9.7928e-04 4.1507e-15 7.1089e-15 1.1139e-11 6.7594e-05 1.5214e-11 1.3176e-07 1.7944e-13 
 58000.000 7.9248e-03 1500.00 1.2402e-04 9.9883e-01 9.7930e-04 3.8262e-15 7.1090e-15 1.0268e-11 6.7595e-05 1.2928e-11 1.2146e-07 1.5248e-13 
 57000.000 9.3260e-03 1500.00 1.1433e-04 9.9884e-01 9.7931e-04 3.5271e-15 7.1091e-15 9.4654e-12 6.7596e-05 1.0986e-11 1.1197e-07 1.2958e-13 
 56000.000 1.0975e-02 1500.00 1.0539e-04 9.9885e-01 9.7932e-04 3.2513e-15 7.1090e-15 8.7252e-12 6.7594e-05 9.3355e-12 1.0322e-07 1.1011e-13 
 55000.000 1.2915e-02 1500.00 9.7150e-05 9.9886e-01 9.7933e-04 2.9970e-15 7.1087e-15 8.0427e-12 6.7588e-05 7.9328e-12 9.5147e-08 9.3564e-14 
 54000.000 1.5199e-02 1500.00 8.9557e-05 9.9886e-01 9.7922e-04 2.7609e-15 7.1039e-15 7.4081e-12 6.7495e-05 6.7403e-12 8.7700e-08 7.9490e-14 
 53000.000 1.7886e-02 1500.00 8.2554e-05 9.9887e-01 9.7936e-04 2.5469e-15 7.1093e-15 6.8350e-12 6.7598e-05 5.7283e-12 8.0854e-08 6.7564e-14 
 52000.000 2.1049e-02 1500.00 7.6101e-05 9.9888e-01 9.7937e-04 2.3478e-15 7.1093e-15 6.3007e-12 6.7598e-05 4.8677e-12 7.4534e-08 5.7415e-14 
 51000.000 2.4771e-02 1500.00 7.0151e-05 9.9888e-01 9.7938e-04 2.1643e-15 7.1094e-15 5.8081e-12 6.7598e-05 4.1363e-12 6.8707e-08 4.8787e-14 
 50000.000 2.9151e-02 1500.00 6.4667e-05 9.9889e-01 9.7939e-04 1.9951e-15 7.1094e-15 5.3540e-12 6.7599e-05 3.5148e-12 6.3336e-08 4.1457e-14 
 49000.000 3.4305e-02 1500.00 5.9611e-05 9.9889e-01 9.7926e-04 1.8376e-15 7.1039e-15 4.7651e-12 6.7493e-05 2.9863e-12 5.8376e-08 3.5218e-14 
 48000.000 4.0370e-02 1500.00 5.4951e-05 9.9890e-01 9.7940e-04 1.6953e-15 7.1095e-15 4.5497e-12 6.7600e-05 2.5380e-12 5.3820e-08 2.9936e-14 
 47000.000 4.7508e-02 1500.00 5.0655e-05 9.9890e-01 9.7940e-04 1.5628e-15 7.1093e-15 4.1939e-12 6.7597e-05 2.1567e-12 4.9613e-08 2.5438e-14 
 46000.000 5.5908e-02 1500.00 4.6695e-05 9.9891e-01 9.7938e-04 1.3758e-15 7.1083e-15 3.8653e-12 6.7577e-05 1.8308e-12 4.5733e-08 2.1615e-14 
 45000.000 6.5793e-02 1500.00 4.3045e-05 9.9891e-01 9.7942e-04 1.3280e-15 7.1096e-15 3.5639e-12 6.7601e-05 1.5573e-12 4.2159e-08 1.8369e-14 
 44000.000 7.7426e-02 1500.00 3.9680e-05 9.9891e-01 9.7943e-04 1.2242e-15 7.1096e-15 3.2853e-12 6.7601e-05 1.3233e-12 3.8863e-08 1.5609e-14 
 43000.000 9.1116e-02 1500.00 3.6578e-05 9.9892e-01 9.7941e-04 1.1232e-15 7.1087e-15 3.0280e-12 6.7583e-05 1.1245e-12 3.5824e-08 1.1935e-15 
 42000.000 1.0723e-01 1500.00 3.3718e-05 9.9892e-01 9.7930e-04 1.0394e-15 7.0940e-15 1.7393e-12 6.7488e-05 9.5419e-13 3.3020e-08 1.1245e-14 
 41000.000 1.2619e-01 1500.00 3.1081e-05 9.9892e-01 9.7944e-04 9.5891e-16 7.1097e-15 2.5734e-12 6.7601e-05 8.1164e-13 3.0442e-08 9.5772e-15 
 40000.000 1.4850e-01 1500.00 2.8651e-05 9.9892e-01 9.7941e-04 8.8379e-16 7.1085e-15 2.3718e-12 6.7579e-05 6.8994e-13 2.8061e-08 8.1378e-15 
 39000.000 1.7475e-01 1500.00 2.6412e-05 9.9893e-01 9.7930e-04 8.1413e-16 7.1035e-15 2.1846e-12 6.7484e-05 5.7977e-13 2.5865e-08 6.9122e-15 
 38000.000 2.0565e-01 1500.00 2.4347e-05 9.9893e-01 9.7945e-04 7.5115e-16 7.1097e-15 2.0159e-12 6.7602e-05 4.9245e-13 2.3847e-08 5.8768e-15 
 37000.000 2.4201e-01 1500.00 2.2444e-05 9.9893e-01 9.7942e-04 6.9231e-16 7.1085e-15 1.8579e-12 6.7579e-05 4.2336e-13 2.1982e-08 4.7415e-15 
 36000.000 2.8480e-01 1500.00 2.0689e-05 9.9893e-01 9.7932e-04 6.3775e-16 7.1037e-15 1.7113e-12 6.7487e-05 3.5205e-13 2.0261e-08 4.2423e-15 
 35000.000 3.3516e-01 1500.00 1.9072e-05 9.9893e-01 9.7946e-04 5.8839e-16 7.1098e-15 1.5791e-12 6.7602e-05 3.0570e-13 1.8680e-08 3.6060e-15 
 34000.000 3.9442e-01 1500.00 1.7581e-05 9.9894e-01 9.7938e-04 5.4211e-16 7.1061e-15 1.4500e-12 6.7532e-05 2.5898e-13 1.7218e-08 2.3509e-15 
 33000.000 4.6416e-01 1500.00 1.6206e-05 9.9894e-01 9.7931e-04 4.9952e-16 7.1032e-15 1.3404e-12 6.7477e-05 2.2071e-13 1.5871e-08 2.6030e-15 
 32000.000 5.4623e-01 1500.00 1.4939e-05 9.9894e-01 9.7946e-04 4.6089e-16 7.1097e-15 1.2366e-12 6.7600e-05 1.2127e-13 1.4632e-08 2.2126e-15 
 31000.000 6.4281e-01 1500.00 1.3771e-05 9.9894e-01 9.7934e-04 4.2453e-16 7.1042e-15 1.1383e-12 6.7496e-05 1.5938e-13 1.3486e-08 1.8796e-15 
 30000.000 7.5646e-01 1500.00 1.2695e-05 9.9894e-01 9.7946e-04 2.3714e-16 7.1096e-15 1.0456e-12 6.7599e-05 1.3545e-13 1.2434e-08 1.5976e-15 
 29000.000 8.9022e-01 1500.00 1.1702e-05 9.9894e-01 9.7939e-04 3.6075e-16 7.1064e-15 9.6838e-13 6.7538e-05 1.1509e-13 1.1461e-08 1.3574e-15 
 28000.000 1.0476e+00 1500.00 1.0787e-05 9.9894e-01 9.7934e-04 3.3252e-16 7.1038e-15 8.9228e-13 6.7488e-05 9.7790e-14 1.0564e-08 1.1533e-15 
 27000.000 1.2328e+00 1500.00 9.9441e-06 9.9894e-01 9.7941e-04 3.0666e-16 7.1069e-15 8.2295e-13 6.7548e-05 8.3106e-14 9.7391e-09 9.8020e-16 
 26000.000 1.4508e+00 1500.00 9.1668e-06 9.9894e-01 9.7936e-04 2.8261e-16 7.1048e-15 7.5836e-13 6.7506e-05 7.0617e-14 8.9773e-09 8.3120e-16 
 25000.000 1.7074e+00 1500.00 8.4501e-06 9.9894e-01 9.7947e-04 2.6069e-16 7.1096e-15 6.9961e-13 6.7598e-05 6.0013e-14 8.2763e-09 6.9880e-16 
 24000.000 2.0092e+00 1500.00 7.7892e-06 9.9895e-01 9.7938e-04 2.4017e-16 7.1057e-15 6.4434e-13 6.7524e-05 5.0989e-14 7.6285e-09 6.0138e-16 
 23000.000 2.3645e+00 1500.00 7.1805e-06 9.9895e-01 9.7947e-04 2.1925e-16 7.1097e-15 5.9451e-13 6.7601e-05 4.3334e-14 7.0329e-09 5.1114e-16 
 22000.000 2.7826e+00 1500.00 6.6190e-06 9.9895e-01 9.7940e-04 2.0411e-16 7.1063e-15 5.4725e-13 6.7536e-05 3.6820e-14 6.4825e-09 4.3427e-16 
 21000.000 3.2745e+00 1500.00 6.1015e-06 9.9895e-01 9.7947e-04 1.8782e-16 7.1097e-15 5.0518e-13 6.7601e-05 3.1290e-14 5.9761e-09 3.6908e-16 
 20000.000 3.8535e+00 1500.00 5.6246e-06 9.9895e-01 9.7941e-04 1.7338e-16 7.1067e-15 4.6546e-13 6.7543e-05 2.6588e-14 5.5086e-09 3.1359e-16 
 19000.000 4.5349e+00 1500.00 5.1848e-06 9.9895e-01 9.7939e-04 1.5986e-16 7.1056e-15 4.2900e-13 6.7523e-05 2.2592e-14 5.0778e-09 2.6646e-16 
 18000.000 5.3367e+00 1500.00 4.7795e-06 9.9895e-01 9.7942e-04 1.4739e-16 7.1068e-15 3.9553e-13 6.7546e-05 1.9198e-14 4.6809e-09 2.2644e-16 
 17000.000 6.2803e+00 1500.00 4.4058e-06 9.9895e-01 9.7940e-04 1.3585e-16 7.1060e-15 3.6456e-13 6.7530e-05 1.6313e-14 4.3149e-09 1.9230e-16 
 16000.000 7.3907e+00 1500.00 4.0614e-06 9.9895e-01 9.7943e-04 1.2526e-16 7.1076e-15 3.3615e-13 6.7560e-05 1.3863e-14 3.9777e-09 1.6351e-16 
 15000.000 8.6975e+00 1500.00 3.7439e-06 9.9895e-01 9.7941e-04 1.1545e-16 7.1065e-15 3.0976e-13 6.7539e-05 1.1780e-14 3.6667e-09 1.3894e-16 
 14000.000 1.0235e+01 1500.00 3.4512e-06 9.9895e-01 9.7945e-04 1.0645e-16 7.1082e-15 2.8567e-13 6.7572e-05 1.0004e-14 3.3801e-09 1.1807e-16 
 13000.000 1.2045e+01 1500.00 3.1814e-06 9.9895e-01 9.7942e-04 9.8110e-17 7.1069e-15 2.6322e-13 6.7547e-05 8.5063e-15 3.1158e-09 1.0033e-16 
 12000.000 1.4175e+01 1500.00 2.9327e-06 9.9895e-01 9.7945e-04 9.0460e-17 7.1075e-15 2.4277e-13 6.7579e-05 7.2283e-15 2.8723e-09 8.5259e-17 
 11000.000 1.6681e+01 1500.00 2.7034e-06 9.9895e-01 9.7943e-04 8.3374e-17 7.1074e-15 2.2373e-13 6.7557e-05 6.1420e-15 2.6477e-09 7.2444e-17 
 10000.000 1.9630e+01 1500.00 2.4920e-06 9.9895e-01 9.7945e-04 7.6868e-17 7.1085e-15 2.0629e-13 6.7577e-05 5.2194e-15 2.4408e-09 6.1564e-17 
  9000.000 2.3101e+01 1500.00 2.2972e-06 9.9895e-01 9.7944e-04 7.0853e-17 7.1079e-15 1.9014e-13 6.7565e-05 4.4353e-15 2.2499e-09 5.2311e-17 
  8000.000 2.7186e+01 1500.00 2.1176e-06 9.9895e-01 9.7945e-04 6.5318e-17 7.1083e-15 1.7529e-13 6.7574e-05 3.7689e-15 2.0740e-09 4.4441e-17 
  7000.000 3.1993e+01 1500.00 1.9521e-06 9.9895e-01 9.7946e-04 6.0214e-17 7.1088e-15 1.6160e-13 6.7582e-05 3.2026e-15 1.9119e-09 3.7515e-17 
  6000.000 3.7649e+01 1500.00 1.7994e-06 9.9895e-01 9.7945e-04 5.5504e-17 7.1084e-15 1.4895e-13 6.7575e-05 2.7214e-15 1.7624e-09 3.2087e-17 
  5000.000 4.4306e+01 1500.00 1.6588e-06 9.9895e-01 9.7948e-04 5.1175e-17 7.1098e-15 1.3734e-13 6.7602e-05 2.3126e-15 1.6247e-09 2.7278e-17 
  4000.000 5.2140e+01 1500.00 1.5291e-06 9.9895e-01 9.7946e-04 4.7167e-17 7.1087e-15 1.2658e-13 6.7582e-05 1.9181e-15 1.4976e-09 2.3179e-17 
  3000.000 6.1359e+01 1500.00 1.4095e-06 9.9895e-01 9.7948e-04 4.3486e-17 7.1098e-15 1.1671e-13 6.7603e-05 1.6699e-15 1.3806e-09 1.9688e-17 
  2000.000 7.2208e+01 1500.00 1.2994e-06 9.9895e-01 9.7947e-04 4.0083e-17 7.1093e-15 1.0746e-13 6.7592e-05 1.4190e-15 1.2726e-09 1.6737e-17 
  1000.000 8.4975e+01 1500.00 1.1978e-06 9.9895e-01 9.7947e-04 3.6950e-17 7.1092e-15 9.9164e-14 6.7593e-05 1.2058e-15 1.1731e-09 1.4223e-17 
